iter	Passed	Remaining
1144	11179	8347
1145	11188	8337
1146	11199	8328
1147	11207	8317
1148	11227	8315
1149	11246	8312
1150	11256	8302
1151	11264	8292
1152	11274	8282
1153	11283	8271
1154	11292	8261
1155	11302	8252
1156	11312	8242
1157	11322	8232
1158	11331	8222
1159	11340	8212
1160	11350	8202
1161	11360	8192
1162	11369	8182
1163	11388	8179
1164	11396	8168
1165	11405	8158
1166	11415	8148
1167	11425	8138
1168	11434	8128
1169	11443	8118
1170	11453	8108
1171	11473	8105
1172	11495	8104
1173	11506	8095
1174	11514	8084
1175	11524	8075
1176	11544	8072
1177	11563	8068
1178	11572	8058
1179	11581	8048
1180	11601	8045
1181	11611	8035
1182	11631	8032
1183	11641	8023
1184	11660	8019
1185	11669	8008
1186	11684	8003
1187	11694	7992
1188	11713	7989
1189	11721	7978
1190	11731	7968
1191	11741	7958
1192	11750	7948
1193	11761	7939
1194	11770	7929
1195	11781	7919
1196	11793	7911
1197	11803	7901
1198	11814	7892
1199	11823	7882
1200	11832	7871
1201	11843	7862
1202	11851	7851
1203	11861	7842
1204	11870	7831
1205	11880	7821
1206	11909	7824
1207	11919	7814
1208	11928	7804
1209	11937	7793
1210	11947	7784
1211	11958	7774
1212	11968	7765
1213	11976	7753
1214	11985	7743
1215	11994	7733
1216	12003	7723
1217	12014	7713
1218	12023	7703
1219	12033	7693
1220	12044	7684
1221	12053	7674
1222	12062	7663
1223	12071	7652
1224	12080	7642
1225	12090	7632
1226	12100	7623
1227	12110	7613
1228	12120	7603
1229	12130	7593
1230	12139	7583
1231	12149	7573
1232	12158	7563
1233	12168	7553
1234	12178	7543
1235	12188	7533
1236	12198	7524
1237	12208	7514
1238	12218	7504
1239	12228	7494
1240	12237	7484
1241	12246	7474
1242	12257	7464
1243	12266	7454
1244	12275	7444
1245	12286	7434
1246	12295	7424
1247	12305	7414
1248	12312	7403
1249	12321	7392
1250	12329	7382
1251	12340	7372
1252	12350	7363
1253	12361	7353
1254	12370	7343
1255	12380	7333
1256	12390	7324
1257	12399	7313
1258	12408	7303
1259	12419	7294
1260	12430	7284
1261	12441	7275
1262	12451	7265
1263	12461	7256
1264	12481	7252
1265	12490	7241
1266	12501	7232
1267	12510	7221
1268	12519	7211
1269	12538	7207
1270	12546	7196
1271	12555	7185
1272	12564	7175
1273	12573	7165
1274	12582	7154
1275	12591	7144
1276	12601	7134
